budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
2,1,5,350.3040029235426,0.5452142988569051,315 milliseconds,350.3040029235426,0.0,79 milliseconds,0.0,1.0
4,1,5,635.7904770999903,1.0904285977138102,953 milliseconds,635.7775025949541,0.0,129 milliseconds,0.012974505036254413,1.0000204073044159
6,1,5,874.7269783453113,1.6356428965707153,2117 milliseconds,874.8592937293107,0.0,131 milliseconds,-0.132315383999412,0.9998487580975046
8,1,5,1092.968010580943,2.1808571954276204,10553 milliseconds,1093.156628561094,0.0,154 milliseconds,-0.18861798015109343,0.9998274556680872
10,1,5,1286.5286146678204,2.7260714942845254,24759 milliseconds,1286.7290877608805,0.0,199 milliseconds,-0.20047309306005445,0.9998441994550625
12,1,5,1452.740627532401,3.2712857931414305,455559 milliseconds,1453.0153303637792,0.0,237 milliseconds,-0.27470283137813567,0.9998109429228738
2,2,5,359.1610607429989,0.5816825033356281,266 milliseconds,359.145721720345,0.0,33 milliseconds,0.015339022653904522,1.0000427097462847
4,2,5,656.6395235091389,1.1633650066712562,972 milliseconds,656.7314906538095,0.0,65 milliseconds,-0.0919671446705479,0.9998599623347146
6,2,5,914.9587670228309,1.7450475100068843,2673 milliseconds,915.0923350600613,0.0,104 milliseconds,-0.13356803723036137,0.9998540387323629
8,2,5,1148.3565050378313,2.3267300133425124,26836 milliseconds,1148.6528854361725,0.0,127 milliseconds,-0.2963803983411708,0.9997419756637544
10,2,5,1354.6210310912347,2.9084125166781405,202360 milliseconds,1355.215015145149,0.0,156 milliseconds,-0.5939840539142551,0.9995617049344375
12,2,5,1533.1224257537215,3.4900950200137686,399973 milliseconds,1533.741118437784,0.0,202 milliseconds,-0.6186926840625802,0.9995966120510007
2,3,5,361.7692909517476,0.5894504911763079,299 milliseconds,361.7692909517476,0.0,34 milliseconds,0.0,1.0
4,3,5,683.8597374785436,1.1789009823526158,727 milliseconds,683.9926344208934,0.0,65 milliseconds,-0.13289694234981653,0.999805704132381
6,3,5,982.772814985942,1.7683514735289236,1692 milliseconds,982.6267515424663,0.0,91 milliseconds,0.14606344347566846,1.000148645905728
8,3,5,1254.6896877769002,2.3578019647052315,3686 milliseconds,1254.6387152892453,0.0,119 milliseconds,0.05097248765491713,1.0000406272236253
10,3,5,1476.886721176093,2.9472524558815394,8423 milliseconds,1476.7999705000511,0.0,150 milliseconds,0.0867506760419019,1.0000587423332712
12,3,5,1667.7369323736896,3.5367029470578473,59912 milliseconds,1667.881119079957,0.0,199 milliseconds,-0.14418670626741914,0.99991355096918
2,4,5,381.71059940726445,0.5232997348571189,247 milliseconds,381.71059940726445,0.0,29 milliseconds,0.0,1.0
4,4,5,689.9222081373985,1.0465994697142378,1110 milliseconds,689.8072357930824,0.0,61 milliseconds,0.11497234431601555,1.000166673149179
6,4,5,956.5789332065998,1.5698992045713567,2588 milliseconds,955.1101020318677,0.0,88 milliseconds,1.468831174732145,1.001537865814221
8,4,5,1177.3954502517722,2.0931989394284756,6503 milliseconds,1175.4335537518682,0.0,144 milliseconds,1.9618964999040145,1.0016690832873043
10,4,5,1365.058580715056,2.6164986742855945,17428 milliseconds,1363.441062524024,0.0,217 milliseconds,1.6175181910321044,1.0011863499167597
12,4,5,1529.3899051896292,3.1397984091427134,62310 milliseconds,1527.8210595877035,0.0,257 milliseconds,1.5688456019256591,1.0010268516670067
2,5,5,374.94714425652194,0.5599877036526664,287 milliseconds,374.95333892619595,0.0,36 milliseconds,-0.006194669674016495,0.9999834788251473
4,5,5,693.9504365129326,1.1199754073053327,829 milliseconds,693.184172497123,0.0,67 milliseconds,0.766264015809611,1.001105426301136
6,5,5,967.2692306044609,1.679963110957999,2070 milliseconds,966.6013046774773,0.0,102 milliseconds,0.6679259269835711,1.0006910045783628
8,5,5,1209.4618062604775,2.2399508146106655,9870 milliseconds,1208.8808857637152,0.0,130 milliseconds,0.5809204967622463,1.0004805440334141
10,5,5,1426.2641095208353,2.799938518263332,20797 milliseconds,1425.4798559500061,0.0,207 milliseconds,0.7842535708291507,1.0005501681188658
12,5,5,1611.2632706697161,3.359926221915998,214796 milliseconds,1610.2833692751833,0.0,204 milliseconds,0.979901394532817,1.0006085273022312
2,6,5,366.07967546365,0.5804290637482836,328 milliseconds,366.07967546365,0.0,29 milliseconds,0.0,1.0
4,6,5,678.2166780497475,1.1608581274965672,977 milliseconds,677.8859216471469,0.0,61 milliseconds,0.33075640260062755,1.000487923398375
6,6,5,948.7275459763307,1.7412871912448509,2794 milliseconds,947.6949789693766,0.0,110 milliseconds,1.032567006954082,1.001089556270602
8,6,5,1186.7973635696642,2.3217162549931345,10304 milliseconds,1185.6218674342053,0.0,134 milliseconds,1.1754961354588431,1.0009914595603764
10,6,5,1397.6908568661083,2.902145318741418,114056 milliseconds,1396.5368066323172,0.0,269 milliseconds,1.1540502337911676,1.0008263657844967
12,6,5,1585.6097161686657,3.4825743824897017,1244458 milliseconds,1584.4177280942167,0.0,217 milliseconds,1.1919880744490001,1.0007523193241992
2,7,5,365.4656502737727,0.5978265665093545,336 milliseconds,365.1641789749891,0.0,33 milliseconds,0.30147129878361056,1.0008255774146024
4,7,5,668.3954216953214,1.195653133018709,723 milliseconds,667.7053547594162,0.0,60 milliseconds,0.690066935905179,1.0010334901929216
6,7,5,937.5468996264497,1.7934796995280635,3108 milliseconds,936.4547993230425,0.0,96 milliseconds,1.0921003034071646,1.0011662071721952
8,7,5,1176.5500619992047,2.391306266037418,25024 milliseconds,1175.4345657961871,0.0,126 milliseconds,1.1154962030175284,1.0009490074866583
10,7,5,1386.2785594176203,2.9891328325467725,37425 milliseconds,1384.936907016848,0.0,160 milliseconds,1.3416524007723183,1.0009687462251708
12,7,5,1578.9513597896705,3.586959399056127,4124216 milliseconds,1577.4317435890048,0.0,206 milliseconds,1.5196162006657232,1.000963348307679
2,8,5,369.11080943769684,0.5324369286474848,255 milliseconds,369.11080943769684,0.0,38 milliseconds,0.0,1.0
4,8,5,677.3028351151204,1.0648738572949696,1082 milliseconds,676.8027572060332,0.0,69 milliseconds,0.5000779090871674,1.0007388827893544
