baseline_utility,health_probability
2.4375,0.994804
2.60417,0.995707
2.70833,0.996352
2.33333,0.994365
2.20833,0.994365
3.02083,0.996492
2.60417,0.994365
2.70833,0.994365
2.75,0.995707
2.97917,0.994365
2.77083,0.996125
2.78125,0.996492
2.8125,0.994804
2.27083,0.996125
2.39583,0.996125
2.0,0.996492
2.60417,0.996125
2.35417,0.994804
2.27083,0.996492
2.66667,0.994365
2.6875,0.994365
2.5625,0.994804
2.25,0.994365
2.89583,0.994804
2.79167,0.996125
2.60417,0.996492
2.10417,0.994804
2.52083,0.994804
2.72917,0.996125
2.39583,0.996125
2.54167,0.994804
3.29167,0.994365
2.54167,0.996125
3.02083,0.994804
2.27083,0.996492
3.125,0.994585
2.39583,0.994804
2.8125,0.996125
2.29167,0.996125
2.11458,0.994365
2.67708,0.994365
2.6875,0.994365
2.77083,0.996125
2.19792,0.994365
2.22917,0.994365
2.77083,0.994365
2.375,0.996492
2.25,0.996125
2.69792,0.994365
1.95833,0.996492
2.0625,0.994365
3.1875,0.994365
1.95833,0.996492
2.66667,0.994365
2.45833,0.996125
2.5625,0.996125
2.89583,0.994365
2.33333,0.996125
3.02083,0.996492
2.35417,0.994804
2.27083,0.994804
2.79167,0.994365
2.5625,0.994804
2.79167,0.994804
2.55208,0.994365
2.89583,0.994365
3.3125,0.994804
2.80208,0.996125
3.0,0.996492
3.52083,0.994804
2.83333,0.994804
3.375,0.994804
2.83333,0.994804
3.02083,0.996492
2.66667,0.996492
2.49306,0.996125
2.85417,0.994804
3.45833,0.996492
3.22917,0.996492
2.6875,0.996125
2.72917,0.996492
2.41667,0.994365
3.22917,0.994804
2.8125,0.994365
2.39583,0.994804
2.29167,0.994365
2.9375,0.996125
2.58333,0.996125
2.4375,0.994365
2.66667,0.996125
2.47917,0.994365
2.625,0.994365
2.52083,0.996125
3.29167,0.994804
2.58333,0.996125
2.89583,0.996492
2.5,0.996492
2.77083,0.996492
2.02083,0.994804
2.4375,0.994804
3.22917,0.996125
2.52083,0.994365
2.84375,0.994365
2.70833,0.996125
2.25,0.996125
3.125,0.996492
2.29167,0.994365
2.4375,0.994365
3.22917,0.996492
2.8125,0.994804
2.72917,0.994804
3.0625,0.996125
2.59375,0.994804
2.5625,0.996492
2.64583,0.994365
2.85417,0.996125
2.95833,0.994365
2.95833,0.994365
2.625,0.996125
2.8125,0.996492
2.85417,0.994804
2.5,0.996492
2.1875,0.994804
3.04167,0.994804
2.47917,0.994365
2.8125,0.994804
2.64583,0.994365
3.04167,0.994804
2.39583,0.996309
2.1875,0.994365
