user_id,treatment,baseline_utility,health_probability,group_id,randomization_stage,randomization_unit,cluster_robustness_sample,sociability,fear,stress1,stress2,stress3,stress4,life_satisfaction,institute_satisfaction,performance,learning,productivity,supervisor_goals,own_goals
18,TRUE,2.4375,0.994804,56,initial_group,group_049,TRUE,0,3,1,5,4,1,5,8,2,5,2,1,1
23,FALSE,2.60417,0.995707,5,initial_group,group_005,TRUE,0,4,2,1,4,1,8,8,2,7,3,2,2
24,FALSE,2.70833,0.996352,5,initial_group,group_005,TRUE,20,4,2,4,4,2,7,10,3,8,3,2,3
25,FALSE,2.33333,0.994365,5,initial_group,group_005,TRUE,5,5,2,5,5,2,9,9,1,9,1,1,2
26,FALSE,2.20833,0.994365,14,initial_group,group_014,TRUE,30,2,4,4,4,1,8,10,3,9,3,1,2
27,TRUE,3.02083,0.996492,13,initial_group,group_013,TRUE,20,3,4,4,4,3,8,7,3,7,3,3,2
28,FALSE,2.60417,0.994365,15,initial_group,group_015,TRUE,0,4,2,5,5,1,8,8,2,7,2,2,2
29,FALSE,2.70833,0.994365,5,initial_group,group_005,TRUE,10,2,2,5,5,1,9,9,2,10,2,2,2
30,TRUE,2.75,0.995707,13,initial_group,group_013,TRUE,0,3,3,4,3,3,7,10,3,,3,3,4
31,FALSE,2.97917,0.994365,12,initial_group,group_012,TRUE,10,3,4,3,3,3,7,9,2,8,2,2,2
32,FALSE,2.77083,0.996125,16,initial_group,group_016,TRUE,1,3,2,4,3,2,8,8,3,7,3,3,3
33,FALSE,2.78125,0.996492,17,initial_group,group_017,TRUE,,3,5,1,1,1,1,2,3,2,3,2,3
34,FALSE,2.8125,0.994804,18,initial_group,group_018,TRUE,30,3,1,5,5,2,8,9,2,8,2,1,2
35,FALSE,2.27083,0.996125,19,initial_group,group_019,TRUE,0,4,3,4,3,3,7,10,2,9,2,2,2
36,FALSE,2.39583,0.996125,20,initial_group,group_020,TRUE,30,2,3,4,4,2,8,6,2,8,2,3,3
37,FALSE,2,0.996492,21,initial_group,group_021,TRUE,40,1,2,4,3,3,8,9,2,8,2,2,3
39,FALSE,2.60417,0.996125,23,initial_group,group_022,TRUE,5,3,4,3,3,5,8,8,2,10,3,2,2
41,FALSE,2.35417,0.994804,25,initial_group,group_023,TRUE,30,2,2,4,3,2,5,1,2,9,2,2,2
42,FALSE,2.27083,0.996492,26,initial_group,group_024,TRUE,80,3,3,4,,3,9,10,2,8,2,3,3
44,FALSE,2.66667,0.994365,28,initial_group,group_025,TRUE,,3,3,4,4,1,8,9,2,8,2,2,3
45,FALSE,2.6875,0.994365,29,initial_group,group_026,TRUE,70,3,2,4,3,3,9,9,2,8,2,3,3
46,FALSE,2.5625,0.994804,30,initial_group,group_027,TRUE,10,4,1,5,5,1,10,10,,,,,
49,FALSE,2.25,0.994365,33,initial_group,group_028,TRUE,15,4,4,4,5,2,7,8,1,7,1,2,2
50,FALSE,2.89583,0.994804,34,initial_group,group_029,TRUE,50,4,2,2,5,2,10,10,2,10,2,2,2
51,FALSE,2.79167,0.996125,35,initial_group,group_030,TRUE,60,2,2,4,4,2,9,7,2,10,2,2,1
52,FALSE,2.60417,0.996492,36,initial_group,group_031,TRUE,80,3,3,3,3,3,7,5,2,8,2,2,2
53,FALSE,2.10417,0.994804,37,initial_group,group_032,TRUE,0,4,1,5,5,1,8,10,2,10,2,2,2
54,FALSE,2.52083,0.994804,38,initial_group,group_033,TRUE,20,3,4,5,4,4,9,6,3,8,2,3,4
55,FALSE,2.72917,0.996125,39,initial_group,group_034,TRUE,20,2,2,4,3,4,4,8,3,7,3,4,4
56,FALSE,2.39583,0.996125,40,initial_group,group_035,TRUE,30,2,2,2,3,1,5,9,2,9,2,3,4
57,FALSE,2.54167,0.994804,41,initial_group,group_036,TRUE,0,3,2,5,4,1,3,8,1,10,1,1,1
58,FALSE,3.29167,0.994365,42,initial_group,group_037,TRUE,20,3,3,3,3,2,8,9,3,8,3,4,4
59,FALSE,2.54167,0.996125,43,initial_group,group_038,TRUE,5,1,3,4,4,2,8,2,2,6,2,3,3
